Journal,ISSN,Category,Source,Quality_Level,ABDC_Rank,CiteScore,SJR,Publisher,Note
International Journal of Transgender Health,,Gender Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,15.1,2.285,Taylor & Francis,Gender Studies
International Journal of Urban Sciences,,Urban Studies,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.7,0.949,Taylor & Francis,Urban Studies
International Migration Review,,Demography,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.3,1.412,SAGE,Demography
International Political Science Review,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.0,1.344,SAGE,Political Science and International Relations
International Review for the Sociology of Sport,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.6,0.964,SAGE,Social Sciences (miscellaneous)
International Review of Administrative Sciences,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.9,1.163,SAGE,Sociology and Political Science
International Security,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.8,4.166,MIT Press,Political Science and International Relations
International Studies Review,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.0,1.62,Oxford University Press,Political Science and International Relations
Internet Policy Review,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.5,1.15,Alexander von Humboldt Institute for Internet and Society,Communication
Internet Research,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.8,2.207,Emerald Publishing,Sociology and Political Science
Internet and Higher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,13.8,2.97,Elsevier,Education
JMIR Medical Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,16.0,2.482,JMIR Publications Inc.,Education
Journal for STEM Education Research,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.7,1.483,Springer Nature,Education
Journal of Accounting in Emerging Economies,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.9,0.839,Emerald Publishing,Sociology and Political Science
Journal of Adolescent Research,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.6,1.076,SAGE,Sociology and Political Science
Journal of Advertising,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,16.9,4.201,Taylor & Francis,Communication
Journal of Applied Learning and Teaching,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,19.2,2.409,Open Access Publishing Association,Education
Journal of Asian Public Policy,,Sociology and Political Science,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,6.9,0.586,Taylor & Francis,Sociology and Political Science
Journal of Black Psychology,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,4.9,1.227,SAGE,Anthropology
Journal of Business and Economic Statistics,,Social Sciences (miscellaneous),Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.9,3.508,Taylor & Francis,Social Sciences (miscellaneous)
Journal of Career Assessment,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.0,1.413,SAGE,Education
Journal of Career Development,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,9.3,1.277,SAGE,Education
Journal of Chinese Governance,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,5.6,0.917,Taylor & Francis,Political Science and International Relations
Journal of Chinese Political Science,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.1,1.415,Springer Nature,Political Science and International Relations
"Journal of College Student Retention: Research, Theory and Practice",,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,7.1,1.03,SAGE,Education
Journal of Common Market Studies,,Political Science and International Relations,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,8.0,1.804,John Wiley & Sons,Political Science and International Relations
Journal of Computer Assisted Learning,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,11.9,2.155,John Wiley & Sons,Education
Journal of Computer Information Systems,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,14.6,0.978,Taylor & Francis,Education
Journal of Computer-Mediated Communication,,Communication,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,12.8,2.692,Oxford University Press,Communication
Journal of Computers in Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,16.5,1.738,Springer Nature,Education
Journal of Computing in Higher Education,,Education,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,15.4,2.132,Springer Nature,Education
Journal of Consumer Research,,Anthropology,Scopus CiteScore 2025 (Top 10%),Top 10% (Elite Q1),,13.9,11.045,Oxford University Press,Anthropology
